Date,Open,High,Low,Close,Adj Close,Volume,A,R
1988-01-20,9.28,9.28,9.28,9.28,1.183421,0,0.324%,0.324%
1988-01-21,9.32,9.32,9.32,9.32,1.188522,0,0.431%,0.431%
1988-01-22,9.35,9.35,9.35,9.35,1.192347,0,0.322%,0.322%
1988-01-25,9.38,9.38,9.38,9.38,1.196174,0,0.321%,0.321%
1988-01-26,9.32,9.32,9.32,9.32,1.188522,0,-0.640%,-0.640%
1988-01-27,9.42,9.42,9.42,9.42,1.201274,0,1.073%,1.073%
1988-01-28,9.46,9.46,9.46,9.46,1.206375,0,0.425%,0.425%
1988-01-29,9.49,9.49,9.49,9.49,1.218574,0,1.011%,1.011%
1988-02-01,9.51,9.51,9.51,9.51,1.221142,0,0.211%,0.211%
1988-02-02,9.56,9.56,9.56,9.56,1.227561,0,0.526%,0.526%
1988-02-03,9.51,9.51,9.51,9.51,1.221142,0,-0.523%,-0.523%
1988-02-04,9.49,9.49,9.49,9.49,1.218574,0,-0.210%,-0.210%
1988-02-05,9.57,9.57,9.57,9.57,1.228846,0,0.843%,0.843%
1988-02-08,9.54,9.54,9.54,9.54,1.224995,0,-0.313%,-0.313%
1988-02-09,9.54,9.54,9.54,9.54,1.224995,0,0.000%,0.000%
1988-02-10,9.58,9.58,9.58,9.58,1.23013,0,0.419%,0.419%
1988-02-11,9.54,9.54,9.54,9.54,1.224995,0,-0.417%,-0.417%
1988-02-12,9.46,9.46,9.46,9.46,1.214722,0,-0.839%,-0.839%
1988-02-16,9.45,9.45,9.45,9.45,1.213437,0,-0.106%,-0.106%
1988-02-17,9.44,9.44,9.44,9.44,1.212152,0,-0.106%,-0.106%
1988-02-18,9.45,9.45,9.45,9.45,1.213437,0,0.106%,0.106%
1988-02-19,9.46,9.46,9.46,9.46,1.214722,0,0.106%,0.106%
1988-02-22,9.48,9.48,9.48,9.48,1.217289,0,0.211%,0.211%
1988-02-23,9.53,9.53,9.53,9.53,1.22371,0,0.527%,0.527%
1988-02-24,9.54,9.54,9.54,9.54,1.224995,0,0.105%,0.105%
1988-02-25,9.51,9.51,9.51,9.51,1.221142,0,-0.315%,-0.315%
1988-02-26,9.52,9.52,9.52,9.52,1.222426,0,0.105%,0.105%
1988-02-29,9.54,9.54,9.54,9.54,1.232764,0,0.846%,0.846%
1988-03-01,9.55,9.55,9.55,9.55,1.234055,0,0.105%,0.105%
1988-03-02,9.55,9.55,9.55,9.55,1.234055,0,0.000%,0.000%
1988-03-03,9.57,9.57,9.57,9.57,1.236641,0,0.210%,0.210%
1988-03-04,9.45,9.45,9.45,9.45,1.221133,0,-1.254%,-1.254%
1988-03-07,9.46,9.46,9.46,9.46,1.222427,0,0.106%,0.106%
1988-03-08,9.42,9.42,9.42,9.42,1.217256,0,-0.423%,-0.423%
1988-03-09,9.43,9.43,9.43,9.43,1.218549,0,0.106%,0.106%
1988-03-10,9.4,9.4,9.4,9.4,1.214672,0,-0.318%,-0.318%
1988-03-11,9.44,9.44,9.44,9.44,1.21984,0,0.425%,0.425%
1988-03-14,9.44,9.44,9.44,9.44,1.21984,0,0.000%,0.000%
1988-03-15,9.44,9.44,9.44,9.44,1.21984,0,0.000%,0.000%
1988-03-16,9.4,9.4,9.4,9.4,1.214672,0,-0.424%,-0.424%
1988-03-17,9.44,9.44,9.44,9.44,1.21984,0,0.425%,0.425%
1988-03-18,9.42,9.42,9.42,9.42,1.217256,0,-0.212%,-0.212%
1988-03-21,9.32,9.32,9.32,9.32,1.204336,0,-1.061%,-1.061%
1988-03-22,9.32,9.32,9.32,9.32,1.204336,0,0.000%,0.000%
1988-03-23,9.31,9.31,9.31,9.31,1.203042,0,-0.107%,-0.107%
1988-03-24,9.3,9.3,9.3,9.3,1.20175,0,-0.107%,-0.107%
1988-03-25,9.34,9.34,9.34,9.34,1.206919,0,0.430%,0.430%
1988-03-28,9.23,9.23,9.23,9.23,1.192706,0,-1.178%,-1.178%
1988-03-29,9.27,9.27,9.27,9.27,1.197873,0,0.433%,0.433%
1988-03-30,9.25,9.25,9.25,9.25,1.195289,0,-0.216%,-0.216%
1988-03-31,9.26,9.26,9.26,9.26,1.205181,0,0.828%,0.828%
1988-04-04,9.2,9.2,9.2,9.2,1.197372,0,-0.648%,-0.648%
1988-04-05,9.2,9.2,9.2,9.2,1.197372,0,0.000%,0.000%
1988-04-06,9.24,9.24,9.24,9.24,1.202578,0,0.435%,0.435%
1988-04-07,9.26,9.26,9.26,9.26,1.205181,0,0.216%,0.216%
1988-04-08,9.31,9.31,9.31,9.31,1.211687,0,0.540%,0.540%
1988-04-11,9.27,9.27,9.27,9.27,1.206482,0,-0.430%,-0.430%
1988-04-12,9.28,9.28,9.28,9.28,1.207784,0,0.108%,0.108%
1988-04-13,9.29,9.29,9.29,9.29,1.209086,0,0.108%,0.108%
1988-04-14,9.17,9.17,9.17,9.17,1.193467,0,-1.292%,-1.292%
1988-04-15,9.17,9.17,9.17,9.17,1.193467,0,0.000%,0.000%
1988-04-18,9.13,9.13,9.13,9.13,1.188261,0,-0.436%,-0.436%
1988-04-19,9.12,9.12,9.12,9.12,1.18696,0,-0.109%,-0.109%
1988-04-20,9.1,9.1,9.1,9.1,1.184357,0,-0.219%,-0.219%
1988-04-21,9.13,9.13,9.13,9.13,1.188261,0,0.330%,0.330%
1988-04-22,9.14,9.14,9.14,9.14,1.189563,0,0.110%,0.110%
1988-04-25,9.14,9.14,9.14,9.14,1.189563,0,0.000%,0.000%
1988-04-26,9.13,9.13,9.13,9.13,1.188261,0,-0.109%,-0.109%
1988-04-27,9.12,9.12,9.12,9.12,1.18696,0,-0.109%,-0.109%
1988-04-28,9.09,9.09,9.09,9.09,1.183055,0,-0.329%,-0.329%
1988-04-29,9.09,9.09,9.09,9.09,1.191444,0,0.709%,0.709%
1988-05-02,9.04,9.04,9.04,9.04,1.18489,0,-0.550%,-0.550%
1988-05-03,9.06,9.06,9.06,9.06,1.187512,0,0.221%,0.221%
1988-05-04,9.07,9.07,9.07,9.07,1.188822,0,0.110%,0.110%
1988-05-05,9.07,9.07,9.07,9.07,1.188822,0,0.000%,0.000%
1988-05-06,9.02,9.02,9.02,9.02,1.182271,0,-0.551%,-0.551%
1988-05-09,9.01,9.01,9.01,9.01,1.180959,0,-0.111%,-0.111%
1988-05-10,9,9,9,9,1.179647,0,-0.111%,-0.111%
1988-05-11,8.98,8.98,8.98,8.98,1.177026,0,-0.222%,-0.222%
